condition,condition_group,sex,min_age,max_age,value,diagnoses,mortality_flag
Infectious and parasitic diseases: Tuberculosis,chronic,1,16,24,-0.01,A1[5-9],NA
Infectious and parasitic diseases: Tuberculosis,chronic,2,16,24,0.29,A1[5-9],NA
Infectious and parasitic diseases: Tuberculosis,chronic,1,25,34,0.11,A1[5-9],NA
Infectious and parasitic diseases: Tuberculosis,chronic,2,25,34,0.25,A1[5-9],NA
Infectious and parasitic diseases: Tuberculosis,chronic,1,35,44,0.23,A1[5-9],NA
Infectious and parasitic diseases: Tuberculosis,chronic,2,35,44,0.27,A1[5-9],NA
Infectious and parasitic diseases: Tuberculosis,chronic,1,45,54,0.26,A1[5-9],NA
Infectious and parasitic diseases: Tuberculosis,chronic,2,45,54,0.33,A1[5-9],NA
Infectious and parasitic diseases: Tuberculosis,chronic,1,55,64,0.33,A1[5-9],NA
Infectious and parasitic diseases: Tuberculosis,chronic,2,55,64,0.34,A1[5-9],NA
Infectious and parasitic diseases: Tuberculosis,chronic,1,65,74,0.26,A1[5-9],NA
Infectious and parasitic diseases: Tuberculosis,chronic,2,65,74,0.37,A1[5-9],NA
Infectious and parasitic diseases: Tuberculosis,chronic,1,75,84,0.13,A1[5-9],NA
Infectious and parasitic diseases: Tuberculosis,chronic,2,75,84,0.39,A1[5-9],NA
Infectious and parasitic diseases: Tuberculosis,chronic,1,85,1000,-0.11,A1[5-9],NA
Infectious and parasitic diseases: Tuberculosis,chronic,2,85,1000,0.39,A1[5-9],NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,1,16,24,0.34,C0,NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,1,16,24,0.34,C1[0-4],NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,2,16,24,0.21,C0,NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,2,16,24,0.21,C1[0-4],NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,1,25,34,0.44,C0,NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,1,25,34,0.44,C1[0-4],NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,2,25,34,0.24,C0,NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,2,25,34,0.24,C1[0-4],NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,1,35,44,0.5,C0,NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,1,35,44,0.5,C1[0-4],NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,2,35,44,0.3,C0,NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,2,35,44,0.3,C1[0-4],NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,1,45,54,0.51,C0,NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,1,45,54,0.51,C1[0-4],NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,2,45,54,0.39,C0,NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,2,45,54,0.39,C1[0-4],NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,1,55,64,0.55,C0,NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,1,55,64,0.55,C1[0-4],NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,2,55,64,0.36,C0,NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,2,55,64,0.36,C1[0-4],NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,1,65,74,0.51,C0,NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,1,65,74,0.51,C1[0-4],NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,2,65,74,0.26,C0,NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,2,65,74,0.26,C1[0-4],NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,1,75,84,0.43,C0,NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,1,75,84,0.43,C1[0-4],NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,2,75,84,0.2,C0,NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,2,75,84,0.2,C1[0-4],NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,1,85,1000,0.31,C0,NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,1,85,1000,0.31,C1[0-4],NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,2,85,1000,0.11,C0,NA
"Malignant neoplasm of: Lip, oral cavity and pharynx",chronic,2,85,1000,0.11,C1[0-4],NA
Malignant neoplasm of: Oesophagus,chronic,1,16,24,0.39,C15,NA
