type,procedure_code
usually_op,A092
usually_op,A112
usually_op,A332
usually_op,A339
usually_op,A484
usually_op,A485
usually_op,A702
usually_op,A704
usually_op,A705
usually_op,A706
usually_op,A708
usually_op,A709
usually_op,A841
usually_op,A842
usually_op,A843
usually_op,A844
usually_op,A845
usually_op,A846
usually_op,B122
usually_op,B128
usually_op,B164
usually_op,B289
usually_op,B308
usually_op,B321
usually_op,B322
usually_op,B323
usually_op,B324
usually_op,B328
usually_op,B329
usually_op,B331
usually_op,B338
usually_op,B355
usually_op,B358
usually_op,B364
usually_op,B371
usually_op,B372
usually_op,B378
usually_op,C042
usually_op,C044
usually_op,C048
usually_op,C049
usually_op,C084
usually_op,C108
usually_op,C178
usually_op,C199
usually_op,C205
usually_op,C223
usually_op,C224
usually_op,C226
usually_op,C227
usually_op,C228
usually_op,C268
usually_op,C272
usually_op,C273
usually_op,C274
usually_op,C293
usually_op,C378
usually_op,C433
usually_op,C434
usually_op,C438
usually_op,C473
usually_op,C481
usually_op,C488
usually_op,C489
usually_op,C512
usually_op,C513
usually_op,C515
usually_op,C518
usually_op,C604
usually_op,C611
usually_op,C618
usually_op,C621
usually_op,C622
usually_op,C623
usually_op,C654
usually_op,C655
usually_op,C658
usually_op,C698
usually_op,C732
usually_op,C733
usually_op,C734
usually_op,C793
usually_op,C794
usually_op,C812
usually_op,C821
usually_op,C825
usually_op,C826
usually_op,C855
usually_op,C863
usually_op,C864
usually_op,C865
usually_op,C866
usually_op,C868
usually_op,C871
usually_op,C872
usually_op,C873
usually_op,C874
usually_op,C875
usually_op,C878
usually_op,C879
usually_op,C882
usually_op,C892
usually_op,C893
usually_op,C901
usually_op,C909
usually_op,D022
usually_op,D041
usually_op,D042
usually_op,D048
usually_op,D051
usually_op,D052
usually_op,D054
usually_op,D055
usually_op,D056
usually_op,D058
usually_op,D059
usually_op,D068
usually_op,D071
usually_op,D072
usually_op,D073
usually_op,D078
usually_op,D079
usually_op,D081
usually_op,D083
usually_op,D085
usually_op,D088
usually_op,D125
usually_op,D128
usually_op,D134
usually_op,D136
usually_op,D152
usually_op,D158
usually_op,D208
usually_op,D243
usually_op,D245
usually_op,D268
usually_op,D281
usually_op,D282
usually_op,D288
usually_op,E028
usually_op,E038
usually_op,E046
usually_op,E051
usually_op,E058
usually_op,E059
usually_op,E062
usually_op,E063
usually_op,E085
usually_op,E088
usually_op,E098
usually_op,E108
usually_op,E178
usually_op,E251
usually_op,E252
usually_op,E253
usually_op,E259
usually_op,E274
usually_op,E276
usually_op,E278
usually_op,E299
usually_op,E314
usually_op,E315
usually_op,E351
usually_op,E355
usually_op,E359
usually_op,E361
usually_op,E368
usually_op,E369
usually_op,E378
usually_op,E388
usually_op,E414
usually_op,E418
usually_op,E426
usually_op,E428
usually_op,E438
usually_op,E659
usually_op,E852
usually_op,E853
usually_op,E858
usually_op,E859
usually_op,E871
usually_op,E872
usually_op,E873
usually_op,E874
usually_op,E878
usually_op,E891
usually_op,E892
usually_op,E893
usually_op,E898
usually_op,E899
usually_op,E911
usually_op,E912
usually_op,E913
usually_op,E918
usually_op,E919
usually_op,E921
usually_op,E922
usually_op,E923
usually_op,E924
usually_op,E925
usually_op,E926
usually_op,E928
usually_op,E929
usually_op,E931
usually_op,E932
usually_op,E933
usually_op,E935
usually_op,E936
usually_op,E937
usually_op,E938
usually_op,E941
usually_op,E942
usually_op,E943
usually_op,E944
usually_op,E948
usually_op,E952
usually_op,E953
usually_op,E954
usually_op,E955
usually_op,E958
usually_op,E959
usually_op,E971
usually_op,E972
usually_op,E973
usually_op,E978
usually_op,E979
usually_op,E989
usually_op,F054
usually_op,F062
usually_op,F089
usually_op,F098
usually_op,F099
usually_op,F108
usually_op,F109
usually_op,F118
usually_op,F119
usually_op,F121
usually_op,F122
usually_op,F128
usually_op,F131
usually_op,F132
usually_op,F133
