sushrg,elective,emergency
AA22C,90,257
AA22D,51,257
AA22E,35,257
AA22F,24,257
AA22G,14,257
AA23C,114,257
AA23D,49,257
AA23E,27,257
AA23F,16,257
AA23G,11,257
AA24C,53,257
AA24D,34,257
AA24E,26,257
AA24F,20,257
AA24G,16,257
AA24H,11,257
AA25C,92,257
AA25D,42,257
AA25E,26,257
AA25F,14,257
AA25G,8,257
AA26C,82,257
AA26D,40,257
AA26E,24,257
AA26F,11,257
AA26G,8,257
AA26H,5,257
AA28C,74,257
AA28D,41,257
AA28E,25,257
AA28F,17,257
AA29C,21,257
AA29D,6,257
AA29E,5,257
AA29F,5,257
AA30C,80,257
AA30D,37,257
AA30E,19,257
AA30F,10,257
AA31C,14,257
AA31D,8,257
AA31E,5,257
AA32Z,5,257
AA33C,9,257
AA33D,5,434
AA35A,127,257
AA35B,86,257
AA35C,59,257
AA35D,38,257
AA35E,22,257
AA35F,14,257
AA43A,5,257
AA43B,5,257
AA50A,150,257
AA50B,84,257
AA50C,50,257
AA50D,162,434
AA50E,81,434
AA50F,53,434
AA51A,101,257
AA51B,58,257
AA51C,40,257
AA51D,30,257
AA51E,74,434
AA51F,36,434
AA51G,30,434
AA52A,83,257
AA52B,50,257
AA52C,30,257
AA52D,24,257
AA52E,61,257
AA52F,17,434
AA52G,17,434
AA53A,84,257
AA53B,38,257
AA53C,28,257
AA53D,17,257
AA53E,53,434
AA53F,23,434
AA53G,15,434
AA54A,25,257
AA54B,10,257
AA54C,14,257
AA55A,32,257
AA55B,10,257
AA55C,9,257
AA56A,12,434
AA56B,8,434
AA57A,10,257
AA57B,5,434
AA60A,20,257
AA60B,110,434
AA61A,127,257
AA61B,7,434
AA70Z,5,257
AA71A,58,257
AA71B,44,257
AA80Z,12,257
AA81Z,9,257
AB11Z,5,257
AB12Z,32,257
AB13Z,6,257
AB14Z,5,257
AB15Z,5,257
AB16Z,5,257
AB17Z,5,257
AB18Z,5,257
AB19Z,5,257
AB20Z,5,257
AB21Z,5,257
AB22Z,5,257
AB23Z,5,257
BZ24D,23,298
BZ24E,19,298
BZ24F,8,298
BZ24G,5,298
BZ30A,5,298
BZ30B,5,298
BZ31A,43,298
BZ31B,5,298
BZ32A,5,298
BZ32B,5,298
BZ33Z,5,298
BZ34A,98,298
BZ34B,15,298
BZ34C,5,298
BZ40Z,39,298
BZ41A,26,298
BZ41B,5,298
BZ42A,30,298
BZ42B,5,298
BZ43Z,5,435
BZ44A,40,298
BZ44B,5,298
BZ44C,5,435
BZ45A,20,298
BZ45B,5,298
BZ45C,5,435
BZ45D,5,435
BZ46A,5,298
BZ46B,5,435
BZ50Z,11,298
BZ51A,5,298
BZ51B,5,298
BZ52Z,10,435
BZ53A,5,298
BZ53B,6,298
BZ54A,5,298
BZ54B,5,298
BZ55Z,5,435
BZ56A,15,298
BZ56B,5,298
BZ56C,11,435
BZ57A,5,298
BZ57B,5,435
BZ60A,21,298
BZ60B,8,298
